Erika Harold
Dawn Harper
Jessica Harper
Michael Harper 
William Rainey Harper
Ken Harrelson
Barbara Harris 
Napoleon Harris
Robin Harris
Steve Harris 
Sydney J. Harris
Wood Harris
Carter Harrison
Carter Harrison
Nolan Harrison
Rodney Harrison
Dolores Hart
Jim Hart 
Gabby Hartnett
Paul Harvey
Karen Hasara
Dennis Hastert
Donny Hathaway
Helge Alexander Haugan
H. G. Haugan
Reidar Rye Haugan
Cherise Haugen
June Haver
Coleman Hawkins
Hersey Hawkins
Tom Hawkins 
Kelvin Hayden
Bill Hayes 
Charles Hayes 
Reggie Hayes
Sean Patrick Hayes
Reggie Hayward
Luther Head
George Peter Alexander Healy
Chick Hearn
Monroe Heath
Harry Hebner
Ben Hecht
Hugh Hefner
Christie Hefner
Mike Heimerdinger
Don Heinrich
Marg Helgenberger
Ernest Hemingway
Rickey Henderson
Thomas J. Henderson 
Sue Hendrickson
Max Henius
Marilu Henner
Anne Henning
Ken Henry 
Herblock
Clarence Herschberger
Seymour Hersh
Whitey Herzog
Charlton Heston
John Grier Hibben
Jesse Hibbs
Jim Hickey 
Fred Hickman
Wild Bill Hickok
Joan Higginbotham
Jack Higgins 
Joel Higgins
Rod Higgins
Ernest Hilgard
Harry Hinde
Thomas S. Hinde
Garrett Hines
Chris Hinton
Edward Hirsch
Michael Hitchcock
Robert R. Hitt
Nathan Hodel
Art Hodes
Craig Hodges
Reggie Hodges
Tom Hoff
Guy Hoffman 
Julius Hoffman
Isabella Hofmann
James F. Hoge
William Holabird
Stu Holcomb
William Holden
Andre Holmes
Jerome Holtzman
Ken Holtzman
Joseph R. Holzapple
Dianne Holum
Skip Homeier
Henry Honore
Ida Marie Honore
Raymond Hood
Jay Hook
Albert J. Hopkins
John Patrick Hopkins
Michael S. Hopkins
Jeff Hornacek
Henry Horner
Rogers Hornsby
Arnold Horween
Ralph Horween
Lin Houston
Charles Edward Hovey
Richard Hovey
Juwan Howard
Margo Howard
Terrence Howard
Dick Howell
George Evan Howell
Howlin' Wolf
Edwin Hubble
Reginald Hudlin
Warrington Hudlin
Jennifer Hudson
Rock Hudson
Troy Hudson
George Huff 
Brandon Hughes
John Hughes 
Kim Hughes 
Mary Beth Hughes
Matt Hughes 
Wayne Huizenga
William Hulbert
Bobby Hull
Morton D. Hull
William E. Hull
Randy Hultgren
Todd Hundley
Bonnie Hunt
Lester C. Hunt
Myron Hunt
Stephen Hunter
Steven Hunter
John Huston 
Ken Huszagh
Robert Hutchins
Henry J. Hyde
J. Allen Hynek
Andre Iguodala
The Impressions
Robert G. Ingersoll
Mark Ingram
Rex Ingram 
Samuel Insull
George Ireland
Jim Irsay
Robert Irsay
Tom Irwin 
Jason Isringhausen
Dan Issel
Burl Ives
Jesse Jackson
Jesse Jackson
Leroy Jackson
Mannie Jackson
Mark Jackson 
Phil Jackson
Shoeless Joe Jackson
Harry Jacobs
Colombe Jacobsen
Peter Jacobson
Walter Jacobson
Andrea Jaeger
Evan Jager
Tom Jager
John Jakes
Ahmad Jamal
Brian James 
Joni James
Peter Francis James
Joyce Jameson
Joseph Jarman
Valerie Jarrett
Dick Jauron
Dave Jauss
Mae Jemison
Joe Jemsek
Edward H. Jenison
Ella Jenkins
Ferguson Jenkins
Richard Jenkins
William Le Baron Jenney
Derrick Jensen 
Jens Jensen 
Jeremih
Sam Jethroe
Martin C. Jischke
Anton J. Johnson
Armon Johnson
Arte Johnson
Bob Johnson 
Bobby Johnson 
"Curley ""Boo"" Johnson"
George E. Johnson
Jan Johnson
Jim Johnson 
John H. Johnson
Lynn-Holly Johnson
Mickey Johnson
Raylee Johnson
Robert L. Johnson
Sheila Johnson
Tim Johnson 
Luke Johnsos
Bruce Johnston
J. J. Johnston
Adam Jones 
Amanda Jones 
Barbara Jones 
"Charles ""Buffalo"" Jones"
Darryl Jones
Earl Jones 
Esther Jones
Garrett Jones
James Jones 
Ralph Jones
Quincy Jones
Rickie Lee Jones
Sam J. Jones
Clifford Jordan
John Jordan 
Michael Jordan
Ron Joseph
Vivian Joseph
Al Joyner
Jackie Joyner-Kersee
Tom Joyner
Sylvia Shaw Judson
John Jurkovic
Herb Juul
Ted Kaczynski
Mike Kafka
James Kahn
Harry Kalas
Floyd Kalber
Elias Kane
Patrick Kane
Maria Kanellis
Henry Kaplan 
Irving Kaplansky
Kevin Kasper
Leon Kass
Philip Kaufman
Tim Kazurinsky
Tom Keating 
Leslie Keeley
Kent E. Keller
Florence Kelley
Dennis Kelly 
Edward Joseph Kelly
Harry Kelly 
James Kelly 
R. Kelly
Robin Kelly
Caren Kemner
Mike Kenn
Michael Kenna
Bob Kennedy
Christopher G. Kennedy
Ethel Kennedy
Martin H. Kennelly
Mel Kenyon
Robert Keohane
Hugh Keough
Joe E. Kernan
Otto Kerner
Johnny Kerr
Walter Kerr
Brian Kerwin
T'Keyah Crystal Keymáh
Chaka Khan
Fazlur Khan
John Kidd 
Adolph Kiefer
Richard Kiley
Dorothy Kilgallen
Elbert Kimbrough
Kyle Kinane
Edward John King
Sam Kinison
Terry Kinney
John Kinsella 
John Kinzie
Adam Kinzinger
Jason Kipnis
Mark Kirk
Chris Klein 
Dick Klein 
Frank Klopas
John C. Kluczynski
Ted Kluszewski
Chad Knaus
Frank Knox
Leo Kocialkowski
Dave Kocourek
Walter Koenig
Seana Kofoed
Herman Kogan
Rick Kogan
H. H. Kohlsaat
Darlene Koldenhoven
Henry Kolker
Fred Koller
Mort Kondracke
Paul Konerko
George Kontos
David Kopay
Harvey Korman
Rich Koz
Olof Krans
Ray Kroc
Jerry Krause
Moose Krause
Alison Krauss
Candace Kroslak
Gene Krupa
Todd Krygier
Mike Krzyzewski
Steve Kuberski
Daniel Kucera
Jonathan Kuck
John Kuenster
George Kunz
Stanley H. Kunz
Irv Kupcinet
Karyn Kupcinet
C.J. Kupec
Bill Kurtis
Ken Kwapis
Ethel Lackie
Carl Laemmle
Carl Laemmle
Carla Laemmle
A.G. Lafley
Kyung Lah
Ray LaHood
Frankie Laine
Robert Lamm
Gene Lamont
Amy Landecker
Ann Landers
James Nobel Landis
