Tyrone Hill
Larry Hisle
Domenik Hixon
Robert Hoernschemeyer
Marty Hogan
Derek Holland 
Lou Holtz
Sam Hornish
Desmond Howard
Dummy Hoy
Brian Hoyer
Aubrey Huff
Bob Huggins
Miller Huggins
John Hughes 
Shirley Fry Irvin
Jim Jackson 
LeBron James
Vic Janowicz
Ban Johnson
Home Run Johnson
Lance Johnson
Cal Jones
Greg Jones 
David Justice
Rich Karlis
Larry Kehres
Jason Kelce
Don King 
Bobby Knight
Jack Kralick
Bernie Kosar
Kosta Koufos
Kevin Kowalski 
Luke Kuechly
Jim Lachey
Jack Lambert 
Kenesaw Mountain Landis
Barry Larkin
Dante Lavelli
Trevor Laws
Dick LeBeau
Jim Leyland
Jim Leyritz
Kory Lichtensteiger
Frank Lickliter
Matt Light
Jon Link
Jeff Linkenbach
Jerry Lucas
Rob Lytle
Mike Nugent
Barry Mackay
Paul Maguire
Ray Mancini
Nick Mangold
Mario Manningham
Jim Martin 
Kevin Martin 
Justin Masterson
Scott May
Bill Mazeroski
Jimmy McAleer
Josh McDaniels
Will McEnaney
Paul McFadden
Mike McGlynn
Deacon McGuire
Brandon McKinney
Lance Mehl
Zoltan Mesko 
Urban Meyer
Doug Mientkiewicz
Creighton Miller
Mike Mizanin
Antwaun Molden
Lance Moore
Joe Morrison
Edwin C. Moses
Marion Motley
Scott Mruczkowski
Byron Mullens
Thurman Munson
Chet Mutryn
Bill Nagy
Haruki Nakamura
Nick Nemeth
Don Nehlen
Al Nesser
Frank Nesser
Phil Nesser
Ted Nesser
Jack Nicklaus
Joe Niekro
Phil Niekro
Jon Niese
Dustin Nippert
Chuck Noll
Ray Nolting
Joe Norman
Joe Nuxhall
Annie Oakley
Al Oliver
Paul O'Neill 
Jerry Olsavsky
Jesse Owens
Akwasi Owusu-Ansah
Orlando Pace
Alan Page
Peggy Parratt
Ara Parseghian
Kelly Pavlik
Jim Paxson
John Paxson
Jay Payton
Antwan Peek
Mike Pelfrey
Bo Pelini
Carl Pelini
Tony Pike
Antonio Pittman
Shawn Porter
James Posey
Wally Post
Taylor Price
Brady Quinn
Chris Quinn
Bobby Rahal
Dominic Randolph
Tim Rattay
George Ratterman
Jeff Reboulet
Michael Redd
Tim Richmond
Branch Rickey
Javon Ringer
Jamal Robertson
Ryne Robinson
Brian Robiskie
Ben Roethlisberger
Pete Rose
Scott Roth
Edd Roush
Mike Rupp
Gary Russell 
Bo Schembechler
Mike Schmidt
Bob Schul
Herb Score
George Shuba
Don Shula
Rob Sims
Frank Sinkwich
George Sisler
Brad Smith 
Joe Smith 
Katie Smith
Steve Smith 
Troy Smith
Bob Snyder
Andy Sonnanstine
Tim Spencer 
Roger Staubach
George Steinbrenner
Shannon Stewart 
Steve Stone 
Carl Storck
Zach Strief
Korey Stringer
Tyrell Sutton
Nick Swisher
Bill Talbert
Aqib Talib
Ben Taylor 
Kent Tekulve
Matt Tennant
LaSalle Thompson
Nate Thurmond
Steve Tovar
Tony Trabert
Jim Tracy 
Gary Trent
Jim Tressel
Lee Tressel
Mike Trgovac
Mel Tucker
Brandon Underwood
Louie Vito
Doug Volmar
Mike Vrabel
Bill Walker 
Moses Fleetwood Walker
Randy Walker 
Vance Walker
Paul Warfield
Rau'shee Warren
Nate Washington
Nick Weatherspoon
Beanie Wells
Rick White 
Sheldon White
Sol White
Donte Whitner
Matt Wilhelm
Jeff Wilkins
Herb Williams
Jawad Williams
Bill Willis
Mike Windt
Antoine Winfield
Derek Wolfe
Eric Wood
Gene Woodling
Charles Woodson
Chris Wright 
Mike Wright
Kevin Youkilis
Cy Young
Don Zimmer
Ron Zook
Michael Zordich
John Chambers 
Henry D. Coffinberry
John R. Commons
Edward J. DeBartolo
Herbert H. Dow
Harvey Samuel Firestone
John W. Galbreath
Charles Geschke
B. F. Goodrich
Jeffrey R. Immelt
Charles Keating
Charles F. Kettering
Peter Lewis 
Carl Lindner
Brian Moynihan
Henry Nicholas
Ransom Olds
Don Panoz
John Henry Patterson 
William Procter 
Bruce Ratner
John D. Rockefeller
Frank Seiberling
David Sinton
George Steinbrenner
W. D. Twichell
Ronald Wayne
Jed York
Denise DeBartolo York
Roger Ailes
James M. Cox
Larry Flynt
Adolph Ochs
Ted Turner
Jack Warner
Les Wexner
Daniel Carter Beard
Elizabeth Blackwell
John Brown 
Clarence Seward Darrow
Ronald Daniels 
Richard Dillingham
A. B. Graham
Linda Hirshman
William Alexander Morgan
Carl Oglesby
Achilles Pugh
Jerry Rubin
Bob Smith 
Gloria Steinem
Lillian Wald
Irvin F. Westheimer
Raymond Winbush
Victoria Woodhull
Robert Bales
Ariel castro
Jeffrey Dahmer
Donald DeFreeze
Thomas Dillon
Martin Frankel
Jimmy Fratianno
Gary M. Heidnik
James Oliver Huberty
Anthony Kirkland
Charles Manson
Charles Makley
Peter Milano
Anthony Sowell
Mary Ainsworth
Gordon Allport
Edgar Bain
Brand Blanshard
William Merriam Burton
Walker Lee Cisler
John R. Commons
Gustav Eckstein 
Thomas Alva Edison
William A. Fowler
Marye Anne Fox
James J. Gibson
Irving I. Gottesman
Charles Martin Hall
Samuel Dana Horton
Charles F. Kettering
Thomas Samuel Kuhn
Arthur Laffer
Harry March
Albert A. Michelson
Edward W. Morley
Roy J. Plunkett
Willard Van Orman Quine
Joseph Ransohoff
Charles Richter
Arthur M. Schlesinger
Thomas Kilgore Sherwood
Thomas J. Silhavy
Richard Smalley
Oberlin Smith
George Smoot
Sander Vanocur
Michael S. Witherell
Elizabeth Witherell
Garrett Morgan
Michael Brooks 
John Lewis Dyer
William Holmes McGuffey
Raymond Moley
Norman Vincent Peale
William Strunk Jr.
Michelle Rhee
Tenskwatawa
Yusuf Estes
Category:People from Ohio
Category:Use mdy dates from January 2013
Category:Incomplete lists from September 2010
You're encouraged to log in; however
View the content page [c]
Discussion about the content page [t]
You can edit this page. Please use the preview button before saving [e]
Past versions of this page [h]
Visit the main page [z]
Find background information on current events
Load a random article [x]
Support us
Visit the Wikimedia Shop
About the project
A list of recent changes in the wiki [r]
Recent changes in pages linked from this page [k]
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of the page
Link to connected data repository item [g]
Information on how to cite this page
Printable version of this page [p]
wikimedia:Privacy policy
