Jim Perry 
Melissa Peterman
Hjalmar Petersen
Aaron Peterson
Barbara Peterson
Collin Peterson
Darrel Peterson
Paul Peterson
Wayne Peterson
Brittany Petros
William Wallace Phelps
Reynold Philipsek
Arthur Phillips
Don Piccard
Jean Piccard
Jeannette Piccard
Justin Pierre
Janelle Pierzina
Bernard Pietenpol
Zebulon Montgomery Pike
John S. Pillsbury
Chellie Pingree
Robert M. Pirsig
William Alvin Pittenger
Mike Ploog
Henry Stanley Plummer
Mortimer Plumtree
Shjon Podein
Henry Poehler
Carl Pohlad
Joe Polo
Olivia Poole
P.O.S
Victor Pellot
Chris Pratt
Tom Preissing
Jacob Aall Ottesen Preus
Jacob Aall Ottesen Preus II
Prince 
Pat Proft
Joel Przybilla
Kirby Puckett
George Putnam 
Herbert Putnam
William S. Pye
Al Quie
Frank Quilici
Robb Quinlan
Brian Raabe
Brad Radke
Pedro Ramos
Alexander Ramsey
Jim Ramstad
John Randle
Ralph Rapson
Baron von Raschke
Ahmad Rashād
Erik Rasmussen 
Edwin W. Rawlings
Jeff Reardon
Harry Reasoner
Jake Reed
Oscar Reed
Rich Reese
Olli Rehn
Ember Reichgott Junge
Chris Reitsma
Earl Renneke
Rip Repulski
Michael Restovich
Patrick Reusse
Albert E. Rice
Edmund Rice 
Henry Mower Rice
Kaylin Richardson
William B. Richardson
Nate Richert
Carl W. Riddick
Beth Riesgraf
Martha Ripley
Mark Ritchie
Laila Robins
Koren Robinson
Marcus Robinson 
Robyne Robinson
Stacy Robinson
Svend Robinson
Rafael Rodriguez 
Brian Rogowski
Todd Rohloff
Rich Rollins
Karl Rolvaag
Ole Rolvaag
Richard Rood
Mike Rosenthal
Marion Ross
Coleen Rowley
Dwayne Rudd
Donald Rudolph
Jane Russell
Elmer Ryan
R. T. Rybak
Winona Ryder
Saint Dog
Dwight M. Sabin
Martin Olav Sabo
Harrison Salisbury
Zak Sally
Ralph Samuelson
John B. Sanborn
John B. Sanborn
Charlie Sanders 
Tony Sanneh
Johan Santana
Gary Sargent
Gloria Sawai
Thomas D. Schall
Bruce Schneier
Henry Schoolcraft
Charles M. Schulz
Richard M. Schulze
Mae Schunk
Seann William Scott
Kathryn Leigh Scott
Todd Scott 
Briana Scurry
Richard Warren Sears
Mitch Seavey
Jerry Seeman
Robert Seguso
Aaron Sele
Conrad Selvig
Joe Senser
Marty Sertich
Brian Setzer
Eric Sevareid
Kyle Shanahan
Eddie Sharkey
Darren Sharper
Clark Shaughnessy
Sam Shepard
Charles D. Sherwood
